planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
GJ 3138 c,Confirmed,0.0056,1.22003,0.0197,0.19,2017,Radial Velocity,GJ 3138
GJ 3138 d,Confirmed,0.033,257.8,0.698,0.32,2017,Radial Velocity,GJ 3138
GJ 317 b,Confirmed,2.56,692,1.148,0.11,2007,Radial Velocity,GJ 317
GJ 317 c,Confirmed,2,7300,30,0.81,2007,Radial Velocity,GJ 317
GJ 328 b,Confirmed,2.3,4100,4.5,0.37,2013,Radial Velocity,GJ 328
GJ 3293 b,Confirmed,0.07406,30.5987,0.14339,0.06,2014,Radial Velocity,GJ 3293
GJ 3293 c,Confirmed,0.06636,122.6196,0.36175,0.11,2014,Other,GJ 3293
GJ 3293 d,Confirmed,0.024,48.1345,0.194,0.12,2014,Radial Velocity,GJ 3293
GJ 3293 e,Confirmed,0.0103,13.2543,0.0821,0.21,2017,Radial Velocity,GJ 3293
GJ 3323 b,Confirmed,0.00636,5.3636,0.03282,0.23,2017,Radial Velocity,GJ 3323
GJ 3323 c,Confirmed,0.00727,40.54,0.1264,0.17,2017,Radial Velocity,GJ 3323
GJ 3341 b,Confirmed,0.35717,14.207,0.089,0.31,2014,Radial Velocity,GJ 3341
GJ 3634 b,Confirmed,0.026,2.64561,0.0287,0.08,2011,Radial Velocity,GJ 3634
GJ 3942 b,Confirmed,0.0225,6.905,0.0608,0.121,2017,Radial Velocity,GJ 3942
GJ 3998 b,Confirmed,0.00777,2.64977,0.029,0,2016,Radial Velocity,GJ 3998
GJ 3998 c,Confirmed,0.0197,13.74,0.089,0.049,2016,Radial Velocity,GJ 3998
GJ 422 b,Confirmed,0.031148727,26.161,0.119,0.05,2014,Radial Velocity,GJ 422
GJ 433 b,Confirmed,0.01667,7.3697,0.06,0.05,2009,Radial Velocity,GJ 433
GJ 433 c,Confirmed,0.14,3693,3.6,0.17,2012,Radial Velocity,GJ 433
GJ 436 b,Confirmed,0.07,2.64394,0.02887,0.1912,2004,Primary Transit,GJ 436
GJ 536 b,Confirmed,0.0169,8.7076,0.06661,0.08,2016,Radial Velocity,GJ 536
GJ 581 b,Confirmed,0.05,5.36865,0.041,0.031,2005,Radial Velocity,GJ 581
GJ 581 c,Confirmed,0.017,12.9182,0.073,0.07,2007,Radial Velocity,GJ 581
GJ 581 e,Confirmed,0.0061,3.14945,0.028,0.32,2009,Radial Velocity,GJ 581
GJ 625 b,Confirmed,0.0095,14.638,0.078399,0.13,2017,Radial Velocity,GJ 625
GJ 649 b,Confirmed,0.328,598.3,1.135,0.3,2009,Radial Velocity,GJ 649
GJ 649 c,Confirmed,0.03,4.4762,0.043,0.2,2013,Radial Velocity,GJ 649
GJ 667 C b,Confirmed,0.0176,7.2004,0.0505,0.13,2009,Radial Velocity,GJ 667 C
GJ 667 C c,Confirmed,0.012,28.14,0.125,0.02,2011,Radial Velocity,GJ 667 C
GJ 667 C d,Confirmed,0.01604,91.61,0.276,0.03,2012,Radial Velocity,GJ 667 C
GJ 667 C e,Confirmed,0.0085,62.24,0.213,0.02,2013,Radial Velocity,GJ 667 C
GJ 667 C f,Confirmed,0.0085,39.026,0.156,0.03,2013,Radial Velocity,GJ 667 C
GJ 667 C g,Confirmed,0.0145,256.2,0.549,0.08,2013,Radial Velocity,GJ 667 C
GJ 674 b,Confirmed,0.04,4.6944,0.039,0.07,2007,Radial Velocity,GJ 674
GJ 676 A b,Confirmed,6.7,1052.1,1.812,0.323,2009,Radial Velocity,GJ 676 A
GJ 676 A c,Confirmed,6.8,7337,6.6,0.2,2012,Radial Velocity,GJ 676 A
GJ 676 A d,Confirmed,0.014,3.6,0.0413,0.15,2012,Radial Velocity,GJ 676 A
GJ 676 A e,Confirmed,0.036,35.37,0.187,0.24,2012,Radial Velocity,GJ 676 A
GJ 682 b,Confirmed,0.013843879,17.478,0.08,0.08,2014,Radial Velocity,GJ 682
GJ 682 c,Confirmed,0.027365121,57.32,0.176,0.1,2014,Radial Velocity,GJ 682
GJ 687 b,Confirmed,0.058,38.14,0.16353,0.04,2014,Radial Velocity,GJ 687
GJ 758 b,Confirmed,45,109000,44.8,0.564,2009,Imaging,GJ 758
