star_name,ra,dec,class
HR 1927,05 36 02.71,-47 18 50.0,STAR K2III
HR 8323,21 48 15.79,-47 18 13.0,STAR G0V
HR 7869,20 37 34.01,-47 17 29.0,STAR K0III
HR 5231,13 55 32.40,-47 17 17.9,STAR B2IV
HR 3588,08 58 52.30,-47 14 04.9,STAR A0
HR 6922,18 29 55.80,-47 13 13.1,STAR K2III
HR 8635,22 42 36.89,-47 12 38.2,STAR G0V
HR 6323,17 03 41.71,-47 09 36.0,STAR A2V
HR 5223,13 53 56.90,-47 07 41.2,STAR B2III
HR 3614,09 04 09.31,-47 05 52.1,STAR K2III
HR 1856,05 30 09.50,-47 04 40.1,STAR G3IV
HR 3046,07 48 20.30,-47 04 40.1,STAR K0III
HR 4570,11 56 43.90,-47 04 21.0,STAR F5V
HR 5882,15 51 31.51,-47 03 38.2,STAR K2III
HR 5606,15 05 07.20,-47 03 04.0,STAR B5IV
HR 5605,15 05 07.20,-47 03 04.0,STAR B5V
HR 4143,10 32 56.90,-47 00 11.9,STAR K4III
HR 3244,08 13 36.19,-46 59 30.8,STAR B2IV
HR 3179,08 05 20.40,-46 58 44.0,STAR B3V
HR 929 ,03 02 55.90,-46 58 30.0,STAR K2III
HR 3390,08 33 30.41,-46 58 16.0,STAR K3III
HR 8425,22 08 13.99,-46 57 40.0,STAR B7IV
HR 1418,04 27 06.00,-46 56 51.0,STAR F5V
HR 8662,22 46 43.70,-46 56 21.8,STAR A9III
HR 3904,09 50 42.00,-46 56 03.8,STAR K0III
HR 6572,17 41 16.30,-46 55 18.8,STAR A0V
HR 5206,13 51 47.21,-46 53 57.1,STAR B2V
HR 1216,03 53 33.29,-46 53 37.0,STAR K2III
HR 8636,22 42 40.10,-46 53 04.9,STAR M5III
HR 5029,13 20 57.70,-46 52 50.2,STAR K1III
HR 3058,07 49 12.89,-46 51 28.1,STAR B1IV
HR 2761,07 14 45.91,-46 50 58.9,STAR A0
HR 2771,07 16 15.50,-46 46 27.8,STAR K4III
HR 2740,07 12 33.60,-46 45 33.8,STAR F0IV
HR 435 ,01 29 30.41,-46 45 23.0,STAR M2III
HR 5742,15 29 24.31,-46 43 58.1,STAR K4III
HR 322 ,01 06 04.99,-46 43 07.0,STAR G8III
HR 229 ,00 48 56.69,-46 41 52.1,STAR G8III
HR 3445,08 40 37.61,-46 38 56.0,STAR F3I
HR 3232,08 12 00.00,-46 38 39.1,STAR F7I
HR 8966,23 39 28.01,-46 38 16.1,STAR A8V
HR 3964,10 03 20.50,-46 38 10.0,STAR A0V
HR 6416,17 19 03.19,-46 38 02.0,STAR G8V
HR 8177,21 24 20.81,-46 36 54.0,STAR A7
HR 2548,06 49 54.60,-46 36 52.9,STAR F5V
HR 3037,07 47 31.49,-46 36 31.0,STAR B1IV
HR 2008,05 46 27.41,-46 35 49.9,STAR K0II
HR 7092,18 52 27.10,-46 35 43.1,STAR M0III
HR 5239,13 56 19.51,-46 35 33.0,STAR K1III
HR 7097,18 52 59.59,-46 35 08.9,STAR A1IV
HR 5457,14 39 10.99,-46 35 03.1,STAR F7V
HR 3658,09 11 33.19,-46 35 02.0,STAR B2III
HR 3912,09 51 40.80,-46 32 52.1,STAR G5I
HR 8657,22 45 40.70,-46 32 51.0,STAR K2III
HR 3527,08 50 33.50,-46 31 45.1,STAR B0III
HR 807 ,02 42 08.50,-46 31 27.8,STAR K1III
HR 1433,04 29 19.99,-46 30 55.1,STAR K1III
HR 6537,17 35 39.60,-46 30 20.2,STAR A0V
HR 5121,13 37 23.71,-46 25 41.9,STAR B8V
HR 299 ,01 02 49.20,-46 23 51.0,STAR G8III
HR 3055,07 49 14.30,-46 22 23.9,STAR B0III
HR 3363,08 29 45.60,-46 19 54.8,STAR B5III
HR 555 ,01 53 38.81,-46 18 09.0,STAR M4III
HR 3234,08 12 30.91,-46 15 51.1,STAR B5V
HR 5444,14 36 19.01,-46 14 43.1,STAR K3III
HR 6131,16 29 42.31,-46 14 35.9,STAR B1I
HR 7952,20 49 28.99,-46 13 36.8,STAR K5III
HR 3910,09 51 19.80,-46 11 38.0,STAR K2III
HR 3496,08 47 18.91,-46 09 20.2,STAR F2I
HR 4818,12 41 22.99,-46 08 44.2,STAR K4III
HR 5401,14 27 12.19,-46 08 03.8,STAR A1
HR 5450,14 37 20.11,-46 08 02.0,STAR G8III
HR 180 ,00 41 19.61,-46 05 06.0,STAR G8III
HR 6197,16 43 03.41,-46 04 14.2,STAR F5I
HR 5354,14 19 24.19,-46 03 28.1,STAR B2IV
HR 3730,09 22 24.00,-46 02 51.0,STAR G6III
HR 3487,08 46 01.70,-46 02 30.1,STAR A1III
HR 6513,17 31 49.10,-46 02 11.0,STAR F8I
HR 6897,18 26 58.39,-45 58 05.9,STAR B3IV
HR 6783,18 11 13.80,-45 57 15.8,STAR K0III
HR 8521,22 22 43.90,-45 56 52.1,STAR
HR 8524,22 23 07.99,-45 55 43.0,STAR F3III
HR 1870,05 31 36.10,-45 55 31.1,STAR K3III
HR 6934,18 31 45.41,-45 54 54.0,STAR B6IV
HR 3494,08 46 30.60,-45 54 46.1,STAR B3I
HR 4370,11 16 27.70,-45 52 48.0,STAR F3V
HR 1291,04 08 33.91,-45 51 52.9,STAR F2V
HR 6477,17 26 51.50,-45 50 37.0,STAR B7V
HR 3250,08 14 23.90,-45 50 03.8,STAR B2IV
HR 1984,05 43 41.09,-45 49 59.2,STAR A9V
HR 7065,18 49 27.41,-45 48 37.1,STAR G8III
HR 2626,06 58 41.81,-45 46 05.2,STAR A0V
HR 6759,18 08 30.10,-45 46 01.9,STAR B7II
HR 6938,18 32 01.99,-45 45 25.9,STAR B3III
HR 25  ,00 09 24.70,-45 44 51.0,STAR K0III
HR 3898,09 49 57.10,-45 43 58.1,STAR B7III
HR 4652,12 14 02.59,-45 43 26.0,STAR K3III
HR 4519,11 45 43.90,-45 41 24.0,STAR B6III
HR 5260,14 01 43.39,-45 36 13.0,STAR F6II
HR 6640,17 51 44.50,-45 36 02.2,STAR G6III
HR 3121,07 57 51.79,-45 34 40.1,STAR K2III
HR 443 ,01 31 39.10,-45 34 32.2,STAR A2V
HR 3680,09 15 14.59,-45 33 20.2,STAR B8V
HR 370 ,01 15 11.09,-45 31 53.0,STAR F8V
HR 6331,17 05 05.30,-45 30 06.1,STAR A2V
HR 8959,23 37 51.00,-45 29 33.0,STAR A2V
HR 7289,19 16 21.70,-45 27 59.0,STAR K3III
HR 3146,08 00 19.61,-45 27 24.8,STAR K1I
HR 6303,17 00 32.30,-45 27 06.1,STAR K4III
HR 2546,06 49 57.79,-45 27 00.0,STAR K5III
HR 4636,12 11 02.90,-45 25 22.1,STAR K0III
HR 3456,08 41 56.90,-45 24 38.9,STAR B6I
HR 5872,15 50 16.30,-45 24 06.1,STAR A9III
HR 5396,14 26 10.80,-45 22 45.8,STAR F4IV
HR 6099,16 24 54.19,-45 20 57.1,STAR A2V
HR 5412,14 30 08.59,-45 19 18.1,STAR B8V
HR 3520,08 49 47.69,-45 18 29.2,STAR A2III
HR 3925,09 54 17.59,-45 17 02.0,STAR B3V
HR 2211,06 10 39.91,-45 16 54.8,STAR A0V
HR 5626,15 08 50.59,-45 16 46.9,STAR B3V
HR 5643,15 11 31.90,-45 16 45.8,STAR K0III
HR 7461,19 39 42.00,-45 16 41.2,STAR F2IV
HR 5642,15 11 34.90,-45 16 39.0,STAR K1III
HR 7416,19 33 21.60,-45 16 18.8,STAR A0
HR 3187,08 06 40.39,-45 15 59.0,STAR K3III
HR 8820,23 10 21.60,-45 14 48.1,STAR K1III
HR 6160,16 35 07.90,-45 14 40.9,STAR K2III
HR 3074,07 51 20.50,-43 05 44.2,STAR B2IV
HR 5395,14 26 08.21,-45 13 17.0,STAR B2IV
HR 3137,07 59 01.80,-45 12 58.0,STAR B4V
HR 7281,19 14 39.70,-45 11 35.9,STAR G8III
HR 3444,08 40 35.30,-45 11 29.0,STAR M0III
HR 5364,14 20 42.50,-45 11 13.9,STAR F0IV
HR 2746,07 13 13.39,-45 10 59.2,STAR A0
HR 4546,11 51 08.71,-45 10 25.0,STAR K3III
HR 2998,07 42 57.19,-45 10 23.9,STAR G6IV
HR 5980,16 06 29.40,-45 10 23.9,STAR A0
HR 7630,20 00 48.31,-45 06 47.2,STAR A8III
HR 2178,06 07 01.90,-45 05 29.0,STAR K1III
HR 8993,23 44 01.39,-45 04 59.9,STAR K1III
HR 2158,06 04 40.20,-45 04 44.0,STAR F4V
HR 4136,10 31 56.59,-45 04 09.8,STAR B8II
HR 4135,10 31 57.50,-45 04 00.1,STAR B6II
HR 3562,08 55 19.30,-45 02 30.1,STAR B3IV
HR 2157,06 04 28.39,-45 02 12.1,STAR G0IV
HR 8145,21 20 09.50,-45 01 19.9,STAR
HR 5325,14 15 38.81,-45 00 02.9,STAR F9V
HR 5781,15 35 53.21,-44 57 31.0,STAR B3IV
HR 1443,04 30 50.09,-44 57 14.0,STAR B2IV
HR 3688,09 16 04.20,-44 53 55.0,STAR A1I
HR 2032,05 49 34.10,-44 52 31.1,STAR K1III
HR 3654,09 11 04.39,-44 52 05.2,STAR B5I
HR 8236,21 33 23.50,-44 50 55.0,STAR K1III
HR 8929,23 31 27.00,-44 50 37.0,STAR K1III
HR 5249,13 58 40.80,-44 48 13.0,STAR B2IV
HR 7343,19 23 13.20,-44 47 58.9,STAR F2III
HR 171 ,00 39 52.01,-44 47 48.1,STAR K1III
HR 3886,09 46 30.41,-44 45 18.0,STAR B2IV
HR 3057,07 49 28.20,-44 45 06.8,STAR K0III
HR 3371,08 30 39.19,-44 44 13.9,STAR B4IV
HR 3359,08 29 27.60,-44 43 30.0,STAR B2IV
HR 602 ,02 01 42.41,-44 42 49.0,STAR K5III
HR 5708,15 22 40.90,-44 41 21.8,STAR B2IV
HR 4788,12 34 42.31,-44 40 23.9,STAR G1V
HR 5825,15 41 11.30,-44 39 40.0,STAR F5IV
HR 4393,11 22 23.11,-44 38 44.9,STAR G8III
HR 2748,07 13 32.40,-44 38 22.9,STAR M5III
HR 2984,07 41 21.79,-44 37 55.9,STAR B7IV
HR 4139,10 32 33.60,-44 37 08.0,STAR G6III
HR 3069,07 50 42.41,-44 34 46.9,STAR G6III
HR 6371,17 10 42.29,-44 33 27.0,STAR G8III
HR 411 ,01 24 41.90,-44 31 41.9,STAR K1II
HR 7846,20 33 55.10,-44 30 58.0,STAR K0III
HR 5651,15 12 49.51,-44 30 02.2,STAR B3IV
HR 8920,23 29 00.79,-44 29 52.1,STAR K2III
HR 8846,23 16 39.70,-44 29 21.1,STAR K1III
HR 7337,19 22 38.30,-44 27 32.0,STAR B9V
HR 8484,22 15 35.09,-44 27 06.8,STAR G8III
HR 968 ,03 12 25.80,-44 25 10.9,STAR F7III
HR 5784,15 36 12.10,-44 23 48.8,STAR K4III
HR 4354,11 13 14.69,-44 22 19.9,STAR K5III
HR 1316,04 12 31.61,-44 22 05.9,STAR K3III
HR 2187,06 08 34.61,-44 21 22.0,STAR B8II
HR 6675,17 56 47.40,-44 20 31.9,STAR K2III
HR 4624,12 08 53.81,-44 19 34.0,STAR A2
HR 9077,00 00 19.20,-44 17 26.2,STAR G3IV
HR 1364,04 19 16.61,-44 16 05.2,STAR K2III
HR 3692,09 16 23.11,-44 15 56.9,STAR K3I
HR 8639,22 42 43.10,-44 14 52.1,STAR K0III
HR 1813,05 24 55.61,-44 13 32.9,STAR K1III
HR 6427,17 19 24.50,-44 13 23.2,STAR B9V
HR 6818,18 15 52.70,-44 12 24.1,STAR G8III
HR 6460,17 24 13.01,-44 09 45.0,STAR B7III
HR 1404,04 25 19.10,-44 09 38.9,STAR F6V
HR 3356,08 29 07.61,-44 09 38.2,STAR B2V
HR 4903,12 54 58.49,-44 09 06.8,STAR G1V
HR 3672,09 14 08.21,-44 08 44.9,STAR B5IV
HR 5118,13 37 06.00,-44 08 35.9,STAR G8III
HR 6420,17 18 48.00,-44 07 46.9,STAR B9V
HR 3204,08 09 35.90,-44 07 22.1,STAR B2IV
HR 6875,18 24 18.19,-44 06 37.1,STAR B2V
HR 3116,07 57 18.41,-44 06 34.9,STAR B2IV
HR 6338,17 05 48.60,-44 06 18.0,STAR A4III
HR 6155,16 34 04.99,-44 02 43.1,STAR B0I
HR 2117,05 58 37.61,-44 02 03.8,STAR G8II
HR 7943,20 48 29.21,-43 59 19.0,STAR F1IV
HR 2789,07 18 04.20,-43 59 12.1,STAR B8II
HR 1548,04 48 33.79,-43 58 48.0,STAR G8III
HR 5008,13 17 13.90,-43 58 45.8,STAR A0
HR 2579,06 52 47.11,-43 58 32.9,STAR B8V
HR 6085,16 22 28.90,-43 54 43.9,STAR G3II
HR 6915,18 29 12.89,-43 50 44.9,STAR G8III
HR 3101,07 55 46.49,-43 50 42.0,STAR B6V
HR 636 ,02 10 04.90,-43 48 56.2,STAR G8III
HR 4292,10 59 59.40,-43 48 25.9,STAR B8V
HR 3020,07 45 18.10,-43 45 07.9,STAR B6IV
HR 8560,22 29 45.50,-43 44 57.8,STAR M4III
HR 4364,11 14 54.00,-43 44 03.1,STAR K4III
HR 7350,19 24 21.41,-43 43 23.2,STAR M1III
HR 245 ,00 51 52.10,-43 42 33.1,STAR F2V
HR 100 ,00 26 12.19,-43 40 48.0,STAR A7V
HR 7062,18 48 50.50,-43 40 48.0,STAR A3V
HR 4154,10 35 10.49,-43 39 52.9,STAR G8II
HR 3661,09 12 30.60,-43 36 49.0,STAR B8V
HR 2668,07 03 58.80,-43 36 42.1,STAR K0V
HR 2667,07 03 57.29,-43 36 29.2,STAR G3V
HR 5528,14 51 38.40,-43 34 32.2,STAR B5IV
HR 5509,14 47 32.09,-43 33 27.0,STAR G8III
HR 8787,23 06 52.80,-43 31 14.2,STAR F5
HR 632 ,02 09 09.29,-43 31 00.1,STAR K1III
HR 6937,18 31 56.21,-43 30 28.1,STAR K2III
HR 3114,07 56 57.89,-43 30 01.1,STAR B2V
HR 8556,22 29 16.20,-43 29 44.2,STAR G6III
HR 5668,15 16 10.49,-43 29 04.9,STAR B3IV
HR 5294,14 08 51.89,-43 28 16.0,STAR B9V
HR 7392,19 29 23.90,-43 26 44.9,STAR A0
HR 7068,18 49 34.99,-43 26 02.0,STAR B9IV
HR 3634,09 07 59.81,-43 25 57.0,STAR K4I
HR 6750,18 06 49.80,-43 25 28.9,STAR A5V
HR 6749,18 06 49.80,-43 25 28.9,STAR A5V
HR 2658,07 02 15.60,-43 24 15.1,STAR A0V
HR 6174,16 38 26.21,-43 23 55.0,STAR B2IV
HR 239 ,00 50 03.70,-43 23 40.9,STAR A9III
HR 4973,13 11 23.21,-43 22 08.0,STAR K1III
HR 429 ,01 28 21.89,-43 19 05.9,STAR M0III
HR 2878,07 29 13.80,-43 18 05.0,STAR K5III
HR 6380,17 12 09.19,-43 14 21.1,STAR F3III
HR 73  ,00 18 42.60,-43 14 07.1,STAR K2III
HR 3674,09 14 24.50,-43 13 39.0,STAR B4V
HR 698 ,02 22 11.81,-43 12 00.0,STAR K0III
HR 2451,06 37 45.70,-43 11 46.0,STAR B8III
HR 3842,09 38 01.51,-43 11 28.0,STAR G8II
HR 6991,18 39 34.99,-43 11 10.0,STAR M2III
HR 3593,09 00 22.20,-43 10 23.9,STAR B2V
HR 5580,14 59 27.10,-43 09 36.0,STAR F5III
HR 4991,13 13 57.50,-43 08 20.0,STAR K4III
HR 5571,14 58 31.90,-43 08 02.0,STAR B2III
HR 8896,23 23 45.41,-43 07 27.8,STAR K3III
HR 4036,10 15 31.51,-43 06 45.0,STAR K4III
HR 4502,11 41 19.80,-43 05 44.9,STAR A0V
HR 5286,14 06 10.90,-43 05 30.8,STAR G8III
HR 2908,07 33 13.30,-43 05 11.0,STAR G8III
HR 1008,03 19 55.70,-43 04 10.9,STAR G8V
HR 5362,14 20 09.70,-43 03 32.0,STAR G8III
HR 6257,16 53 42.50,-43 03 02.9,STAR M3II
HR 7627,20 00 26.50,-43 02 35.9,STAR M0II
HR 8042,21 02 12.60,-43 00 06.8,STAR G3IV
HR 6553,17 37 19.20,-42 59 52.1,STAR F1II
HR 3426,08 37 38.71,-42 59 21.1,STAR A6II
HR 3226,08 11 25.90,-42 59 13.9,STAR A5I
HR 3166,08 03 29.50,-42 56 55.0,STAR G8II
HR 8241,21 34 16.99,-42 55 30.0,STAR K1III
HR 2069,05 53 22.90,-42 55 17.0,STAR K3III
HR 1285,04 07 25.10,-42 55 00.8,STAR K0III
HR 4906,12 55 19.39,-42 54 56.9,STAR M0III
HR 6049,16 15 24.00,-42 53 58.9,STAR K2III
HR 789 ,02 39 48.00,-42 53 30.1,STAR A2V
HR 3078,07 51 40.30,-42 53 17.9,STAR B2IV
HR 6558,17 38 08.50,-42 52 50.2,STAR B8V
HR 5625,15 08 39.10,-42 52 04.1,STAR B7V
HR 8814,23 09 57.29,-42 51 38.2,STAR F4IV
HR 6164,16 36 22.51,-42 51 32.0,STAR O9I
HR 2120,05 59 08.81,-42 48 55.1,STAR K0III
HR 7706,20 12 23.90,-42 46 50.2,STAR K1III
HR 3322,08 24 57.19,-42 46 09.8,STAR B3V
HR 4175,10 38 50.30,-42 45 13.0,STAR A0
HR 4099,10 26 09.50,-42 44 20.0,STAR K1III
HR 6597,17 44 42.00,-42 43 44.0,STAR A1V
HR 7122,18 56 16.90,-42 42 38.2,STAR K0III
HR 4982,13 12 50.90,-42 41 58.9,STAR K0III
HR 198 ,00 44 57.10,-42 40 36.1,STAR F0V
HR 4423,11 28 35.11,-42 40 27.1,STAR B9V
HR 6071,16 19 17.69,-42 40 26.0,STAR A3V
HR 4403,11 24 22.10,-42 40 09.1,STAR B2IV
HR 3477,08 44 24.00,-42 38 57.1,STAR G5III
HR 3205,08 09 47.71,-42 38 26.2,STAR B7V
HR 4327,11 07 16.61,-42 38 19.0,STAR A0
HR 1075,03 29 55.01,-42 38 03.1,STAR A5V
HR 8949,23 35 04.61,-42 36 54.0,STAR A2V
HR 5797,15 38 03.19,-42 34 03.0,STAR K4III
HR 8202,21 27 01.61,-42 32 52.1,STAR A0
HR 4721,12 25 08.50,-42 30 51.8,STAR G5III
HR 2575,06 52 39.70,-42 30 15.8,STAR F5II
HR 3530,08 51 27.91,-42 30 15.8,STAR A1V
HR 558 ,01 54 22.01,-42 29 48.8,STAR A3V
HR 6266,16 54 26.90,-42 28 44.0,STAR F5I
HR 5193,13 49 37.01,-42 28 26.0,STAR B2IV
HR 4093,10 25 17.21,-42 28 05.2,STAR G8III
HR 3501,08 48 08.81,-42 27 50.0,STAR B2IV
HR 4600,12 03 39.60,-42 26 03.1,STAR F6V
HR 7787,20 23 53.21,-42 25 22.1,STAR A5V
HR 3111,07 56 57.89,-42 24 22.0,STAR K3III
HR 2591,06 54 26.71,-42 21 56.2,STAR
HR 6262,16 53 59.69,-42 21 43.9,STAR B1I
HR 6271,16 54 34.99,-42 21 41.0,STAR K4III
HR 2666,07 04 02.81,-42 20 13.9,STAR A0
HR 5398,14 26 13.39,-42 19 09.1,STAR K2III
HR 6951,18 33 30.19,-42 18 45.0,STAR G8III
HR 99  ,00 26 16.99,-42 18 22.0,STAR K0III
HR 2171,06 06 40.99,-42 17 55.0,STAR A0
HR 1326,04 14 00.10,-42 17 39.8,STAR K1III
HR 6839,18 18 40.01,-42 17 17.9,STAR B0I
HR 3668,09 13 18.60,-42 16 25.0,STAR K2III
HR 4263,10 55 01.01,-42 15 04.0,STAR A0
HR 4970,13 11 08.81,-42 13 59.2,STAR F7IV
HR 4293,11 00 09.31,-42 13 32.9,STAR A3IV
HR 3726,09 21 50.90,-42 11 42.0,STAR M1III
HR 5440,14 35 30.41,-42 09 28.1,STAR B1V
HR 2181,06 07 52.90,-42 09 14.0,STAR A0V
HR 3326,08 25 51.89,-42 09 11.9,STAR B3V
HR 4023,10 14 44.21,-42 07 18.8,STAR A2V
HR 5576,14 59 09.70,-42 06 15.1,STAR B2IV
HR 5248,13 58 16.30,-42 06 02.9,STAR B2IV
HR 5431,14 34 07.99,-42 05 58.9,STAR A2IV
HR 7188,19 03 06.89,-42 05 43.1,STAR B9V
HR 3525,08 50 21.00,-42 05 24.0,STAR B1III
HR 5157,13 43 40.01,-42 04 03.0,STAR B8III
HR 7779,20 22 27.50,-42 02 58.9,STAR A0V
HR 588 ,01 59 38.81,-42 01 50.2,STAR K1III
HR 7334,19 22 09.60,-42 00 58.0,STAR K1III
HR 6649,17 52 52.70,-41 59 48.1,STAR F8IV
HR 6261,16 53 58.80,-41 59 40.9,STAR B1I
HR 1302,04 10 50.59,-41 59 37.0,STAR A9V
HR 1429,04 28 09.41,-41 57 36.0,STAR M1III
HR 4087,10 23 40.39,-41 57 11.9,STAR G8IV
HR 6931,18 31 03.00,-41 54 49.0,STAR A3V
HR 4658,12 15 30.50,-41 54 47.2,STAR K0III
HR 7177,19 02 08.71,-41 54 36.0,STAR A0V
HR 7257,19 09 57.79,-41 53 33.0,STAR B6V
HR 7581,19 55 15.70,-41 52 05.9,STAR K0II
HR 3600,09 01 20.81,-41 51 51.8,STAR B5V
HR 1502,04 40 33.70,-41 51 50.0,STAR F2V
HR 6249,16 52 19.10,-41 51 15.8,WOLF RAYET STAR WN
HR 6263,16 54 11.81,-41 51 01.1,STAR O9I
HR 686 ,02 19 24.70,-41 50 53.9,STAR K2III
HR 5318,14 14 42.60,-41 50 15.0,STAR G8III
HR 6265,16 54 19.61,-41 49 12.0,STAR
HR 5846,15 44 22.61,-41 49 09.8,STAR A0V
HR 6142,16 31 41.71,-41 49 00.8,STAR B1I
HR 6260,16 54 01.80,-41 48 23.0,STAR B0I
HR 524 ,01 47 16.80,-41 45 36.0,STAR K5III
HR 1651,05 03 54.00,-41 44 42.0,STAR F8V
HR 5943,15 59 30.31,-41 44 39.8,STAR K0II
HR 3497,08 47 40.49,-41 44 13.9,STAR G0I
HR 4755,12 29 57.91,-41 44 10.0,STAR M2II
HR 6682,17 57 47.71,-41 42 58.0,STAR M0III
HR 4001,10 10 37.90,-41 42 54.0,STAR K2III
HR 5190,13 49 30.31,-41 41 16.1,STAR B2IV
HR 4056,10 18 28.20,-41 40 05.9,STAR B9V
HR 4080,10 22 19.61,-41 39 00.0,STAR K1III
HR 1049,03 26 11.71,-41 38 12.8,STAR A0V
HR 8488,22 16 26.59,-41 37 39.0,STAR G8III
HR 4941,13 06 35.11,-41 35 19.0,STAR K0II
HR 2445,06 36 51.31,-41 33 24.8,STAR K0II
HR 5439,14 35 31.51,-41 31 01.9,STAR B7V
HR 5060,13 26 56.09,-41 29 53.2,STAR K3III
HR 408 ,01 24 40.80,-41 29 33.0,STAR K0III
HR 5667,15 16 04.01,-41 29 28.0,STAR G5I
HR 331 ,01 07 47.90,-41 29 12.8,STAR A3IV
HR 8771,23 03 59.50,-41 28 41.9,STAR K0III
HR 2759,07 14 57.10,-41 25 32.9,STAR B4III
HR 5269,14 03 27.50,-41 25 23.9,STAR A0
HR 8644,22 43 30.00,-41 24 51.8,STAR K0III
HR 5155,13 42 55.01,-41 24 04.0,STAR K0III
HR 8069,21 06 25.51,-41 23 10.0,STAR K3III
HR 4718,12 24 44.69,-41 23 03.1,STAR K2III
HR 8477,22 14 38.59,-41 22 54.1,STAR G5V
HR 1076,03 30 13.61,-41 22 12.0,STAR F7V
HR 6786,18 11 05.59,-41 21 33.1,STAR F2V
HR 8486,22 15 36.89,-41 20 48.1,STAR G8III
HR 6804,18 13 12.60,-41 20 10.0,STAR B2III
HR 1557,04 50 16.20,-41 19 14.9,STAR F2V
HR 3162,08 02 44.81,-41 18 36.0,STAR B9
HR 3591,09 00 05.40,-41 15 14.0,STAR G8III
HR 4625,12 08 54.50,-41 13 53.0,STAR B3IV
HR 6245,16 51 33.70,-41 13 50.2,STAR O8I
HR 4938,13 04 48.10,-41 11 48.1,STAR M3III
HR 8847,23 16 49.80,-41 11 39.8,STAR K0III
HR 5285,14 06 02.81,-41 10 46.9,STAR B2V
HR 8229,21 32 05.90,-41 10 45.1,STAR K0III
HR 6523,17 33 07.39,-41 10 25.0,STAR B9I
HR 5776,15 35 08.50,-41 10 00.8,STAR B2IV
HR 659 ,02 14 31.99,-41 10 00.1,STAR G8III
HR 6272,16 54 58.39,-41 09 04.0,STAR O8I
HR 3488,08 46 23.81,-41 07 32.2,STAR B9V
HR 6015,16 11 17.69,-41 07 10.9,STAR F0IV
HR 6206,16 43 45.50,-41 07 08.0,STAR A4V
HR 6209,16 43 53.90,-41 06 47.2,STAR B6V
HR 8835,23 14 58.61,-41 06 20.2,STAR K2III
HR 2368,06 28 42.29,-41 04 27.8,STAR F2V
HR 5607,15 05 19.10,-41 04 01.9,STAR G8III
HR 1518,04 43 44.21,-41 03 52.9,STAR K3III
HR 5682,15 18 09.41,-41 03 38.9,STAR A0
HR 4794,12 35 45.50,-41 01 18.8,STAR A7III
HR 8180,21 24 24.79,-41 00 24.1,STAR A0III
HR 4577,11 58 20.30,-40 56 49.9,STAR K1III
HR 1827,05 27 05.30,-40 56 37.0,STAR A7
HR 119 ,00 30 27.79,-40 56 21.8,STAR F2III
HR 3002,07 43 41.90,-40 56 02.0,STAR K1III
HR 2390,06 30 59.81,-40 54 59.0,STAR K3III
HR 2691,07 07 07.10,-40 53 35.9,STAR B3V
HR 5604,15 04 42.91,-40 51 41.0,STAR M6III
HR 5417,14 30 56.50,-40 50 42.0,STAR K3III
HR 706 ,02 24 33.79,-40 50 26.2,STAR G2V
HR 6214,16 44 42.60,-40 50 22.9,STAR B3V
HR 3930,09 56 05.40,-40 49 28.9,STAR M1III
HR 8859,23 18 09.91,-40 49 27.8,STAR F5V
HR 6283,16 56 36.00,-40 49 25.0,STAR B0I
HR 7639,20 01 26.40,-40 48 51.1,STAR A2V
HR 8151,21 20 45.60,-40 48 34.9,STAR A0
HR 7799,20 25 47.90,-40 47 47.0,STAR K3III
HR 5687,15 18 56.40,-40 47 17.9,STAR B7V
HR 6643,17 51 32.81,-40 46 21.0,STAR M2III
HR 5696,15 21 35.30,-40 44 58.9,STAR A1V
HR 3107,07 56 24.29,-40 44 11.0,STAR B2V
HR 1947,05 38 43.61,-40 42 27.0,STAR B8V
HR 1157,03 44 06.19,-40 39 37.1,STAR K1III
HR 5945,15 59 58.01,-40 39 10.1,STAR K1II
HR 2017,05 47 58.10,-40 39 09.0,STAR K1III
HR 3041,07 48 08.50,-40 39 07.9,STAR M2III
HR 3807,09 32 19.30,-40 38 57.8,STAR G8III
HR 5695,15 21 22.30,-40 38 51.0,STAR B1IV
HR 7348,19 23 53.21,-40 36 58.0,STAR B8V
HR 8818,23 10 09.79,-40 35 30.1,STAR M4III
HR 8602,22 36 58.80,-40 35 28.0,STAR A1V
HR 4453,11 33 37.30,-40 35 12.8,STAR A2IV
HR 5624,15 08 12.10,-40 35 02.0,STAR B8IV
HR 8600,22 36 29.30,-40 34 58.1,STAR A3V
HR 3080,07 52 13.01,-40 34 32.9,STAR K1II
HR 814 ,02 43 20.30,-40 31 39.0,STAR B9V
HR 8117,21 15 14.69,-40 30 23.0,STAR K2III
HR 3746,09 26 28.49,-40 30 06.8,STAR A7III
HR 4523,11 46 31.10,-40 30 02.2,STAR G3V
HR 2727,07 12 15.79,-40 29 56.0,STAR A3
HR 7242,19 08 20.90,-40 29 48.1,STAR K1III
HR 3786,09 30 42.00,-40 28 00.1,STAR F3IV
HR 3548,08 53 50.69,-40 26 51.0,STAR K0II
HR 4447,11 32 48.10,-40 26 11.0,STAR K6III
HR 5952,16 00 53.71,-40 26 07.1,STAR A0V
HR 7050,18 47 44.59,-40 24 22.0,STAR G5III
HR 1323,04 13 35.71,-40 21 28.1,STAR K3III
HR 1219,03 54 23.21,-40 21 25.9,STAR K0III
HR 2203,06 10 10.30,-40 21 13.0,STAR M2II
