star_name,ra,dec,class
HR 3302,08 20 00.70,-71 30 19.1,STAR A0IV
HR 4596,12 02 28.61,-71 29 20.0,STAR K1III
HR 4930,13 03 05.21,-71 28 34.0,STAR B1III
HR 9108,00 04 41.30,-71 26 12.8,STAR B8IV
HR 4349,11 11 29.50,-71 26 11.0,STAR K2III
HR 6982,18 43 02.11,-71 25 41.2,STAR K0III
HR 3944,09 56 09.70,-71 23 21.8,STAR B9I
HR 1677,05 02 43.01,-71 18 51.8,STAR G8III
HR 139 ,00 33 23.30,-71 15 58.0,STAR A7IV
HR 8286,21 45 28.80,-71 00 32.0,STAR B8IV
HR 6135,16 34 19.30,-70 59 17.2,STAR K1III
HR 2602,06 51 27.00,-70 57 47.9,STAR B7IV
HR 1541,04 43 03.91,-70 55 52.0,STAR B8II
HR 4329,11 06 49.90,-70 52 41.2,STAR B2V
HR 4211,10 44 19.39,-70 51 36.0,STAR A5IV
HR 4212,10 44 32.09,-70 51 18.0,STAR A6IV
HR 5125,13 40 00.60,-70 47 17.9,STAR K0III
HR 6774,18 14 24.10,-70 45 05.0,STAR B7II
HR 6357,17 12 19.80,-70 43 16.0,STAR K1IV
HR 4262,10 53 42.00,-70 43 13.1,STAR B6V
HR 5049,13 25 50.11,-70 37 39.0,STAR A0
HR 3642,09 05 38.30,-70 32 20.0,STAR B2IV
HR 2736,07 08 44.90,-70 29 56.0,STAR K0III
HR 2735,07 08 42.19,-70 29 49.9,STAR F2V
HR 8994,23 44 25.39,-70 29 25.1,STAR G8IV
HR 5119,13 38 45.70,-70 26 42.0,STAR K3III
HR 2536,06 44 56.09,-70 26 02.0,STAR K3III
HR 8527,22 25 10.51,-70 25 54.1,STAR F3III
HR 3460,08 39 05.21,-70 23 12.8,STAR A0V
HR 8672,22 49 17.40,-70 20 52.1,STAR A2V
HR 5293,14 10 30.91,-70 18 20.2,STAR K4II
HR 5792,15 40 11.50,-70 13 40.1,STAR A1V
HR 4538,11 49 56.59,-70 13 32.9,STAR G6I
HR 4645,12 12 46.80,-70 09 06.8,STAR F6I
HR 8092,21 13 20.50,-70 07 35.0,STAR M1III
HR 6411,17 22 05.90,-70 07 23.9,STAR B9V
HR 3370,08 27 16.90,-70 05 35.9,STAR A0V
HR 6098,16 28 28.10,-70 05 03.8,STAR F9V
HR 5644,15 14 19.10,-70 04 45.8,STAR
HR 4841,12 45 01.70,-68 49 52.0,STAR F6I
HR 8701,22 54 39.41,-70 04 25.0,STAR G2IV
HR 6400,17 20 12.79,-70 02 44.2,STAR G0IV
HR 4037,10 13 44.21,-70 02 17.2,STAR B8III
HR 2352,06 22 38.21,-69 59 03.1,STAR K5III
HR 4966,13 11 51.60,-69 56 30.8,STAR F3IV
HR 3038,07 44 13.01,-69 49 17.0,STAR A0IV
HR 8156,21 24 16.70,-69 44 03.1,STAR
HR 5295,14 11 01.90,-69 43 10.9,STAR A6IV
HR 3685,09 13 12.00,-69 43 01.9,STAR A2IV
HR 2377,06 25 28.61,-69 41 25.1,STAR G8III
HR 4994,13 15 25.70,-69 40 46.9,STAR K2III
HR 8333,21 50 47.11,-69 37 45.8,STAR K2III
HR 5066,13 28 46.39,-69 37 41.2,STAR A0
HR 83  ,00 20 39.00,-69 37 30.0,STAR B9V
HR 1053,03 24 02.50,-69 37 28.9,STAR G0V
HR 7838,20 35 51.70,-69 36 40.0,STAR K2III
HR 270 ,00 55 00.31,-69 31 36.8,STAR K2III
HR 8196,21 28 44.90,-69 30 19.1,STAR M5III
HR 252 ,00 52 24.29,-69 30 15.8,STAR F7IV
HR 4820,12 42 05.11,-69 24 27.0,STAR F7I
HR 5194,13 51 47.40,-69 24 05.0,STAR K5III
HR 1064,03 25 36.19,-69 20 11.0,STAR F3IV
HR 6276,16 59 33.79,-69 16 05.9,STAR A0
HR 959 ,03 07 49.20,-69 15 56.2,STAR K1III
HR 4597,12 02 37.70,-69 11 31.9,STAR B9V
HR 7274,19 16 28.49,-69 11 26.2,STAR A6IV
HR 7579,19 58 41.30,-69 09 50.0,STAR A0
HR 4798,12 37 10.99,-69 08 08.2,STAR B2IV
HR 3949,09 56 59.69,-69 06 06.8,STAR B3V
HR 6217,16 48 39.89,-69 01 40.1,STAR K2II
HR 377 ,01 15 46.10,-68 52 34.0,STAR F6IV
HR 2221,06 08 44.21,-68 50 35.9,STAR B8V
HR 2712,07 06 14.09,-68 50 13.9,STAR K0III
HR 8769,23 04 52.20,-68 49 13.1,STAR F4III
HR 7934,20 49 18.10,-68 46 35.0,STAR K0III
HR 7588,19 58 52.99,-68 45 43.9,STAR A0V
HR 7161,19 03 29.69,-68 45 19.1,STAR F8V
HR 3712,09 17 17.21,-68 41 21.8,STAR F4V
HR 3610,09 01 08.50,-68 41 02.0,STAR M1III
HR 4002,10 09 30.50,-68 40 59.9,STAR A0IV
HR 5671,15 18 54.60,-68 40 45.8,STAR A1V
HR 705 ,02 21 44.90,-68 39 33.8,STAR A3V
HR 4614,12 06 19.80,-68 39 02.9,STAR G3I
HR 1859,05 27 00.00,-68 37 22.1,STAR F0IV
HR 3223,08 07 55.80,-68 37 01.9,STAR B6IV
HR 5891,15 55 29.59,-68 36 11.2,STAR G5II
HR 7383,19 31 10.90,-68 26 02.0,STAR K4III
HR 7221,19 09 52.70,-68 25 28.9,STAR G8III
HR 9007,23 47 23.30,-68 23 39.1,STAR F2V
HR 7320,19 24 05.40,-68 22 16.0,STAR K2III
HR 4604,12 04 38.71,-68 19 45.1,STAR A0IV
HR 5713,15 26 14.69,-68 18 33.1,STAR G8III
HR 4704,12 22 11.90,-68 18 27.0,STAR K0III
HR 6172,16 41 23.30,-68 17 46.0,STAR B7IV
HR 806 ,02 39 35.40,-68 16 00.8,STAR B9V
HR 6808,18 18 00.91,-68 13 45.1,STAR B9V
HR 3491,08 43 54.31,-68 12 42.1,STAR K3III
HR 8019,21 01 28.10,-68 12 34.9,STAR A2V
HR 5379,14 25 06.29,-68 11 43.1,STAR A3I
HR 4844,12 46 16.90,-68 06 29.2,STAR B2V
HR 4671,12 17 34.10,-67 57 38.9,STAR M5III
HR 2803,07 16 49.80,-67 57 25.9,STAR F6II
HR 6037,16 17 05.50,-67 56 29.0,STAR A4V
HR 5443,14 37 46.30,-67 55 55.9,STAR F7V
HR 2662,06 59 50.50,-67 54 58.0,STAR K3III
HR 4993,13 15 14.90,-67 53 39.8,STAR B8V
HR 667 ,02 14 14.69,-67 50 30.1,STAR M1III
HR 4379,11 17 19.01,-67 49 25.0,STAR M2III
HR 6417,17 21 59.40,-67 46 14.2,STAR K2III
HR 678 ,02 15 28.51,-67 44 47.0,STAR K2III
HR 5408,14 31 16.51,-67 43 01.9,STAR K1III
HR 6231,16 52 17.40,-67 40 54.8,STAR K2III
HR 5218,13 54 48.91,-67 39 09.0,STAR K2III
HR 570 ,01 54 56.09,-67 38 49.9,STAR G8III
HR 4710,12 23 13.80,-67 37 54.1,STAR G8IV
