,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 2870,         ,07 28 51.31,-31 50 53.9, 6.38,W       ,                                           STAR B3V,
,HR 2871,         ,07 28 51.50,-31 50 48.8, 7.13,W       ,                                           STAR B4V,
,HR 4298,         ,11 00 40.80,-31 50 21.8, 6.07,        ,                                           STAR F8V,
,HR 7323,         ,19 20 26.21,-31 49 04.1, 6.58,        ,                                         STAR M0III,
,HR 2834,         ,07 24 43.80,-31 48 32.0, 5.35,W       ,                                          STAR G8II,
,HR 2500,         ,06 45 22.80,-31 47 37.0, 5.92,        ,                                           STAR F6V,
,HR 2307,         ,06 23 14.40,-31 47 24.0, 6.34,        ,                                         STAR G8III,
,HR 2598,         ,06 55 54.79,-31 47 24.0, 6.36,W       ,                                           STAR B3V,
,HR 5923,         ,15 56 13.90,-31 47 08.9, 6.29,        ,                                           STAR F6V,
,HR 1635,         ,05 02 22.80,-31 46 17.0, 5.94,        ,                                         STAR G8III,
,HR 3715,         ,09 20 44.21,-31 45 38.2, 6.82,W       ,                                           STAR B9V,
,HR 2847,         ,07 25 43.01,-31 44 19.0, 6.31,        ,                                           STAR B2V,
,HR 2545,         ,06 50 23.30,-31 42 22.0, 5.70,W       ,                                           STAR B6V,
,HR 6628,         ,17 49 10.51,-31 42 11.9, 4.83,        ,                                           STAR B8V,
,HR 4225,         ,10 48 14.21,-31 41 17.9, 5.88,        ,                                           STAR A1V,
,HR 5268,         ,14 03 01.70,-31 41 02.0, 6.18,W       ,                                           STAR F8V,
,HR 3336,         ,08 27 16.39,-31 40 23.2, 6.33,        ,                                         STAR G8III,
,HR 8601,         ,22 36 35.40,-31 39 50.0, 5.82,W       ,                                         STAR K1III,
,HR 2974,         ,07 40 52.70,-31 39 38.9, 6.56,        ,                                           STAR G2I,
,HR 8719,         ,22 55 51.41,-31 37 59.2, 6.10,        ,                                         STAR K3III,
,HR 5212,         ,13 52 00.91,-31 37 09.8, 6.12,W       ,                                           STAR F7V,
,HR 7909,         ,20 41 23.71,-31 35 53.9, 5.76,        ,                                         STAR M0III,
,HR 8721,         ,22 56 24.00,-31 33 56.2, 6.48,        ,                                           STAR K4V,
,HR 293 ,Sig Scl  ,01 02 26.40,-31 33 06.8, 5.50,        ,                                           STAR A2V,
,HR 5660,1    Lup ,15 14 37.30,-31 31 09.1, 4.91,        ,                                          STAR F1II,
,HR 5006,         ,13 16 53.11,-31 30 22.0, 5.10,        ,                                         STAR K1III,
,HR 3384,         ,08 32 51.50,-31 30 02.9, 6.38,        ,                                           STAR K0V,
,HR 2873,         ,07 29 04.90,-31 27 23.0, 5.77,        ,                                           STAR B2V,
,HR 57  ,         ,00 16 08.90,-31 26 47.0, 5.67,W       ,                                         STAR K5III,
,HR 2092,Sig Col  ,05 56 20.90,-31 22 57.0, 5.50,        ,                                         STAR F2III,
,HR 5237,         ,13 55 44.50,-31 17 06.0, 6.51,        ,                                         STAR G8III,
,HR 8214,5    PsA ,21 29 03.79,-31 14 19.0, 6.50,        ,                                            STAR A0,
,HR 5822,         ,15 40 15.41,-31 12 49.0, 6.34,        ,                                         STAR K2III,
,HR 5688,         ,15 18 41.30,-31 12 33.8, 6.18,W       ,                                         STAR G6III,
,HR 727 ,         ,02 28 35.40,-31 06 09.0, 6.11,        ,                                         STAR K2III,
,HR 4449,         ,11 32 54.10,-31 05 13.9, 5.04,        ,                                         STAR M2III,
,HR 2741,         ,07 13 47.11,-31 05 02.0, 6.60,        ,                                          STAR B2IV,
,HR 5916,         ,15 55 30.41,-31 05 01.0, 6.21,        ,                                         STAR K4III,
,HR 1093,         ,03 33 56.81,-31 04 49.1, 6.20,W       ,                                           STAR F5V,
,HR 532 ,         ,01 49 19.49,-31 04 22.1, 6.34,        ,                                         STAR K2III,
,HR 8070,Del Mic  ,21 06 01.20,-30 07 30.0, 5.68,        ,                                         STAR K0III,
,HR 2492,10    CMa,06 44 28.39,-31 04 14.2, 5.20,W       ,                                         STAR B2III,
,HR 4104,Alp Ant  ,10 27 09.10,-31 04 04.1, 4.25,        ,                                         STAR K4III,
,HR 7211,         ,19 04 25.10,-31 02 48.8, 5.50,        ,                                          STAR A0IV,
,HR 89  ,         ,00 23 12.60,-31 02 10.0, 6.55,        ,                                          STAR B9IV,
,HR 7151,         ,18 58 21.29,-31 02 10.0, 6.12,        ,                                         STAR K3III,
,HR 2621,         ,06 58 43.80,-30 59 52.1, 6.42,W       ,                                           STAR B3V,
,HR 2881,         ,07 30 42.50,-30 57 43.9, 4.65,        ,                                           STAR G3I,
,HR 2501,         ,06 45 31.30,-30 56 56.0, 5.80,W       ,                                         STAR B2III,
,HR 400 ,         ,01 23 31.01,-30 56 44.2, 5.84,        ,                                         STAR K5III,
,HR 5474,         ,14 41 51.10,-30 55 59.9, 6.37,W       ,                                            STAR A0,
,HR 3251,         ,08 15 52.51,-30 55 32.9, 6.21,W       ,                                         STAR G5III,
,HR 5619,         ,15 06 33.29,-30 55 08.0, 5.96,        ,                                            STAR A0,
,HR 3096,         ,07 55 13.70,-30 55 03.0, 6.44,        ,                                         STAR K4III,
,HR 6077,         ,16 19 32.69,-30 54 24.1, 5.49,W       ,                                         STAR F6III,
,HR 8326,10The PsA,21 47 44.21,-30 53 53.9, 5.01,W       ,                                           STAR A2V,
,HR 2768,         ,07 16 57.19,-30 53 48.1, 6.32,W       ,                                          STAR A9II,
,HR 4548,         ,11 51 41.59,-30 50 06.0, 5.85,        ,                                           STAR F7V,
,HR 990 ,         ,03 16 11.30,-30 49 39.0, 6.65,        ,                                           STAR A0V,
,HR 2720,         ,07 12 04.10,-30 49 18.1, 6.10,        ,                                           STAR A8V,
,HR 858 ,         ,02 51 55.30,-30 48 51.8, 6.40,        ,                                          STAR F8IV,
,HR 358 ,         ,01 12 23.40,-30 48 07.9, 6.52,        ,                                          STAR F7IV,
,HR 1509,         ,04 43 09.29,-30 45 56.2, 5.68,        ,                                         STAR K2III,
,HR 6888,18    Sgr,18 25 01.51,-30 45 24.1, 5.60,        ,                                         STAR K0III,
,HR 7105,         ,18 52 41.69,-30 44 03.1, 6.63,        ,                                           STAR B8V,
,HR 6780,         ,18 10 05.69,-30 43 43.0, 5.53,W       ,                                          STAR K1II,
,HR 652 ,Mu  For  ,02 12 54.50,-30 43 26.0, 5.28,        ,                                           STAR B9V,
,HR 7991,         ,20 53 25.01,-30 43 07.0, 6.35,        ,                                         STAR K1III,
,HR 1476,         ,04 36 50.90,-30 43 00.1, 6.30,        ,                                          STAR B9IV,
,HR 5428,         ,14 33 09.60,-30 42 51.1, 6.09,W       ,                                         STAR K0III,
,HR 2756,         ,07 15 21.00,-30 41 11.0, 5.36,        ,                                           STAR B3V,
,HR 8623,         ,22 40 22.30,-30 39 32.0, 5.87,        ,                                         STAR K3III,
,HR 2680,         ,07 06 00.60,-30 39 20.2, 6.34,        ,                                           STAR B3V,
,HR 786 ,         ,02 40 02.50,-30 38 02.0, 6.52,        ,                                         STAR K0III,
,HR 4118,Del Ant  ,10 29 35.40,-30 36 25.9, 5.56,W       ,                                           STAR B9V,
,HR 8365,         ,21 55 55.61,-30 36 23.0, 6.41,        ,                                         STAR G8III,
,HR 6273,         ,16 54 36.00,-30 35 13.9, 6.35,        ,                                         STAR A7III,
,HR 2497,         ,06 45 02.40,-30 35 10.0, 6.54,W       ,                                          STAR B8IV,
,HR 3956,         ,10 02 49.30,-30 34 39.0, 6.54,        ,                                         STAR K1III,
,HR 5542,         ,14 52 33.10,-30 34 36.8, 6.29,        ,                                           STAR G1V,
,HR 1464,52Ups2Eri,04 35 33.00,-30 33 43.9, 3.82,        ,                                         STAR G8III,
,HR 6645,         ,17 51 12.50,-30 33 25.9, 6.66,W       ,                                           STAR A0V,
,HR 7617,         ,19 58 56.40,-30 32 17.2, 6.28,        ,                                         STAR K1III,
,HR 1972,         ,05 42 11.59,-30 32 08.2, 6.19,        ,                                           STAR A0V,
,HR 1246,         ,04 00 40.70,-30 29 26.9, 5.93,        ,                                           STAR A2V,
,HR 7856,         ,20 34 47.40,-30 28 25.0, 6.40,        ,                                           STAR B8V,
,HR 2460,         ,06 39 42.70,-30 28 13.1, 5.71,        ,                                         STAR K0III,
,HR 6746,10Gam2Sgr,18 05 48.50,-30 25 27.1, 2.99,        ,                                         STAR K0III,
,HR 4810,         ,12 39 03.50,-30 25 19.9, 5.89,        ,                                         STAR K2III,
,HR 6366,         ,17 08 47.50,-30 24 13.0, 5.97,        ,                                            STAR A0,
,HR 3644,Eps Pyx  ,09 09 56.40,-30 21 55.1, 5.59,W       ,                                          STAR A4IV,
,HR 2743,         ,07 13 57.19,-30 20 24.0, 6.33,        ,                                          STAR B2IV,
,HR 3113,         ,07 57 40.10,-30 20 04.9, 4.79,        ,                                           STAR A2V,
,HR 3196,         ,08 09 06.70,-30 19 21.0, 6.65,W       ,                                         STAR K5III,
,HR 4525,         ,11 47 15.70,-30 17 12.8, 6.48,        ,                                           STAR G5V,
,HR 3099,         ,07 56 22.80,-30 17 07.1, 6.33,        ,                                         STAR M6III,
,HR 441 ,         ,01 31 43.30,-30 16 59.9, 5.82,        ,                                         STAR K0III,
,HR 6694,         ,17 59 05.50,-30 15 11.9, 7.04,W       ,                                          STAR G8II,
,HR 6693,         ,17 59 05.21,-30 15 11.2, 5.16,W       ,                                           STAR M1I,
,HR 2824,         ,07 23 54.29,-30 13 00.8, 6.60,        ,                                          STAR B2IV,
,HR 6403,         ,17 15 51.50,-30 12 38.2, 6.21,        ,                                           STAR B9V,
,HR 3878,         ,09 45 21.79,-30 12 10.1, 6.45,        ,                                         STAR B0III,
,HR 777 ,Iot2For  ,02 38 18.70,-30 11 39.1, 5.83,        ,                                           STAR F4V,
,HR 4328,         ,11 07 54.41,-30 10 28.9, 6.54,        ,                                           STAR G2V,
,HR 1184,Rho For  ,03 47 55.99,-30 10 04.1, 5.54,        ,                                         STAR G6III,
,HR 4083,         ,10 23 13.10,-30 09 43.9, 6.27,        ,                                         STAR F0III,
,HR 5686,2    Lup ,15 17 49.90,-30 08 56.0, 4.34,        ,                                         STAR G9III,
,HR 1838,         ,05 29 06.70,-30 07 00.1, 6.75,        ,                                         STAR G8III,
,HR 2282,1Zet CMa ,06 20 18.79,-30 03 47.9, 3.02,W       ,                                           STAR B2V,
,HR 767 ,Iot1For  ,02 36 09.29,-30 02 40.9, 5.75,        ,                                         STAR G8III,
,HR 1539,Zet Cae  ,04 47 49.61,-30 01 13.1, 6.37,        ,                                          STAR K1IV,
,HR 7725,         ,20 15 50.59,-30 00 19.1, 6.30,        ,                                         STAR K4III,
,HR 3261,         ,08 17 58.30,-30 00 11.9, 6.45,        ,                                         STAR K0III,
,HR 594 ,Pi  For  ,02 01 14.71,-30 00 06.1, 5.35,        ,                                         STAR G5III,
,HR 4331,         ,11 08 15.79,-29 58 22.1, 6.49,        ,                                           STAR A1V,
,HR 8405,13    PsA,22 04 23.90,-29 55 00.1, 6.47,        ,                                         STAR K5III,
,HR 3230,         ,08 12 46.01,-29 54 38.9, 6.52,        ,                                           STAR A1V,
,HR 462 ,Tau Scl  ,01 36 08.40,-29 54 27.0, 5.69,W       ,                                           STAR F2V,
,HR 8398,         ,22 03 17.21,-29 54 15.1, 7.10,        ,                                         STAR F0III,
,HR 1179,         ,03 47 20.11,-29 54 06.8, 6.55,        ,                                           STAR F8V,
,HR 5893,         ,15 52 12.79,-29 53 12.1, 6.40,        ,                                         STAR K1III,
,HR 7194,38Zet Sgr,19 02 36.70,-29 52 49.1, 2.60,        ,                                         STAR A2III,
,HR 6492,45    Oph,17 27 21.29,-29 52 00.8, 4.29,        ,                                          STAR F5IV,
,HR 884 ,         ,02 57 13.10,-29 51 19.1, 6.29,        ,                                           STAR A2V,
,HR 1888,         ,05 33 52.10,-29 50 56.0, 6.53,        ,                                           STAR A0V,
,HR 6859,19Del Sgr,18 20 59.69,-29 49 41.2, 2.70,        ,                                         STAR K3III,
,HR 6907,         ,18 27 49.49,-29 48 59.0, 5.92,        ,                                           STAR F9V,
,HR 974 ,         ,03 13 37.99,-29 48 15.1, 6.16,        ,                                          STAR K1II,
,HR 2252,         ,06 15 57.19,-29 47 17.9, 6.67,        ,                                         STAR K4III,
,HR 5812,40Tau Lib,15 38 39.41,-29 46 40.1, 3.66,        ,                                           STAR B2V,
,HR 1453,50Ups1Eri,04 33 30.60,-29 46 00.1, 4.51,        ,                                         STAR K0III,
,HR 2164,         ,06 06 05.50,-29 45 31.0, 5.81,        ,                                           STAR A1V,
,HR 7380,         ,19 26 56.50,-29 44 35.9, 5.67,        ,                                           STAR B9V,
,HR 6494,         ,17 27 37.49,-29 43 27.8, 6.00,        ,                                          STAR B9IV,
,HR 9091,Zet Scl  ,00 02 19.90,-29 43 13.1, 5.01,W       ,                                         STAR B4III,
,HR 6106,         ,16 24 39.70,-29 42 16.9, 5.84,        ,                                          STAR G0IV,
,HR 6105,         ,16 24 39.60,-29 42 11.9, 6.63,        ,                                          STAR G0IV,
,HR 6972,         ,18 35 59.69,-29 41 57.1, 6.37,        ,                                         STAR K1III,
,HR 8244,         ,21 34 52.99,-29 41 46.0, 6.41,        ,                                         STAR B8III,
,HR 606 ,         ,02 02 28.10,-29 39 54.0, 6.42,        ,                                         STAR A3III,
,HR 4117,         ,10 29 28.99,-29 39 49.0, 5.58,        ,                                         STAR K5III,
,HR 8728,24Alp PsA,22 57 39.10,-29 37 19.9, 1.16,        ,                                           STAR A3V,
,HR 6742,Gam1Sgr  ,18 05 01.30,-29 34 48.0, 4.69,        ,                                           STAR F4I,
,HR 5098,         ,13 32 34.51,-29 33 55.1, 6.45,        ,                                          STAR F3IV,
,HR 3433,Zet Pyx  ,08 39 42.50,-29 33 40.0, 4.89,        ,                                         STAR G4III,
,HR 5128,         ,13 38 42.00,-29 33 38.9, 5.83,        ,                                           STAR F5V,
,HR 138 ,         ,00 33 41.11,-29 33 29.9, 5.55,        ,                                         STAR K2III,
,HR 8693,21    PsA,22 51 20.90,-29 32 10.0, 5.97,        ,                                         STAR G8III,
,HR 300 ,         ,01 03 17.59,-29 31 32.9, 6.29,        ,                                          STAR G5IV,
,HR 8823,         ,23 10 46.61,-29 31 30.0, 6.51,        ,                                         STAR F1III,
,HR 7270,         ,19 11 18.89,-29 30 07.9, 6.30,        ,                                            STAR B9,
,HR 5407,52    Hya,14 28 10.39,-29 29 30.1, 4.97,        ,                                           STAR B8V,
,HR 9073,         ,23 59 27.89,-29 29 06.0, 5.62,        ,                                         STAR K5III,
,HR 3513,         ,08 50 02.21,-29 27 47.2, 5.87,        ,                                         STAR G8III,
,HR 8740,         ,22 59 35.81,-29 27 43.9, 5.51,        ,                                            STAR A5,
,HR 2043,         ,05 51 59.50,-29 26 55.0, 6.45,        ,                                         STAR K3III,
,HR 6017,         ,16 11 01.99,-29 24 59.0, 5.13,        ,                                         STAR K3III,
,HR 2226,         ,06 13 33.29,-29 23 46.0, 6.54,        ,                                           STAR B7V,
,HR 7104,         ,18 52 37.01,-29 22 45.8, 6.13,        ,                                         STAR K1III,
,HR 8637,19    PsA,22 42 22.10,-29 21 38.9, 6.17,        ,                                         STAR M5III,
,HR 280 ,Alp Scl  ,00 58 36.41,-29 21 27.0, 4.31,        ,                                         STAR B7III,
,HR 1171,Sig For  ,03 46 27.41,-29 20 17.2, 5.90,I       ,                                           STAR A3V,
,HR 7360,         ,19 25 04.10,-29 18 33.1, 5.93,        ,                                         STAR K3III,
,HR 2827,31Eta CMa,07 24 05.71,-29 18 11.2, 2.45,W       ,                                           STAR B5I,
,HR 612 ,Nu  For  ,02 04 29.40,-29 17 48.8, 4.69,        ,                                            STAR B9,
,HR 5324,         ,14 15 01.30,-29 16 54.8, 6.08,        ,                                           STAR A1V,
,HR 9102,         ,00 04 20.30,-29 16 07.0, 6.40,        ,                                           STAR A0V,
,HR 4443,         ,11 32 16.10,-29 15 47.9, 5.81,        ,                                           STAR F8V,
,HR 4444,         ,11 32 16.30,-29 15 40.0, 5.64,        ,                                           STAR F8V,
,HR 3331,         ,08 26 50.81,-29 12 55.1, 6.73,        ,                                           STAR B9V,
,HR 5928,5Rho Sco ,15 56 53.11,-29 12 51.1, 3.88,        ,                                          STAR B2IV,
,HR 7764,         ,20 20 28.10,-29 11 49.9, 6.30,        ,                                           STAR A4V,
,HR 4498,         ,11 41 08.40,-29 11 47.0, 6.44,        ,                                           STAR G0V,
,HR 5565,         ,14 57 13.61,-29 09 28.1, 6.29,        ,                                           STAR B9V,
,HR 2863,         ,07 27 59.21,-29 09 20.9, 5.54,        ,                                           STAR B9V,
,HR 2068,         ,05 54 14.09,-29 08 52.1, 6.36,W       ,                                           STAR F3V,
,HR 5965,         ,16 02 39.41,-29 08 08.9, 6.03,        ,                                         STAR K3III,
,HR 7832,         ,20 30 56.81,-29 06 45.0, 6.39,        ,                                           STAR A5V,
,HR 5197,         ,13 50 06.50,-29 04 53.0, 6.18,        ,                                           STAR A0V,
,HR 4049,         ,10 18 07.61,-28 59 30.8, 5.34,        ,                                           STAR A0I,
,HR 963 ,Alp For  ,03 12 04.30,-28 59 12.8, 3.87,        ,                                           STAR F8V,
,HR 84  ,Iot Scl  ,00 21 31.20,-28 58 54.1, 5.18,        ,                                         STAR G5III,
,HR 2618,21Eps CMa,06 58 37.49,-28 58 19.9, 1.50,        ,                                          STAR B2II,
,HR 2996,3    Pup ,07 43 48.50,-28 57 16.9, 3.96,        ,                                           STAR A2I,
,HR 900 ,         ,02 59 06.60,-28 54 24.8, 6.14,        ,                                         STAR K1III,
,HR 6802,         ,18 11 58.20,-28 54 05.0, 6.51,        ,                                          STAR B9IV,
,HR 8754,         ,23 01 19.39,-28 51 13.0, 5.55,        ,                                         STAR K3III,
,HR 3733,Lam Pyx  ,09 23 12.31,-28 50 02.0, 4.69,        ,                                         STAR G8III,
,HR 8802,         ,23 08 21.00,-28 49 23.9, 5.60,        ,                                         STAR G9III,
,HR 3585,         ,08 59 15.70,-28 48 22.0, 6.25,        ,                                         STAR G8III,
,HR 993 ,         ,03 18 02.81,-28 47 48.8, 5.91,        ,                                           STAR F3V,
,HR 7538,         ,19 49 11.59,-28 47 20.0, 6.05,        ,                                           STAR F2V,
,HR 3745,         ,09 26 44.81,-28 47 15.0, 6.10,        ,                                           STAR B6V,
,HR 2318,         ,06 24 43.90,-28 46 48.0, 6.39,        ,                                          STAR G2IV,
,HR 8142,         ,21 18 54.41,-28 45 56.2, 6.40,        ,                                          STAR G8IV,
,HR 6692,         ,17 58 39.10,-28 45 33.1, 6.01,D       ,                                          STAR B3IV,
,HR 8614,         ,22 38 44.69,-28 44 52.1, 6.47,        ,                                         STAR K1III,
,HR 4320,         ,11 06 38.71,-28 43 40.1, 6.77,        ,                                           STAR A1V,
,HR 1915,         ,05 36 10.30,-28 42 28.1, 6.26,        ,                                         STAR A2III,
,HR 5097,         ,13 32 35.90,-28 41 34.1, 5.69,        ,                                           STAR A1V,
,HR 1935,Nu 2Col  ,05 37 44.59,-28 41 21.8, 5.31,        ,                                           STAR F4V,
,HR 7801,         ,20 25 26.81,-28 39 47.9, 5.85,D       ,                                          STAR G8II,
,HR 6835,         ,18 17 24.00,-28 39 09.0, 6.19,        ,                                           STAR A5V,
,HR 2005,         ,05 47 04.70,-28 38 21.1, 6.22,        ,                                           STAR B5V,
,HR 7240,         ,19 07 30.91,-28 38 12.8, 6.04,        ,                                         STAR K3III,
,HR 3798,         ,09 32 18.50,-28 37 41.2, 6.46,        ,                                           STAR A9V,
,HR 3516,         ,08 50 21.60,-28 37 05.2, 6.17,        ,                                           STAR B9V,
,HR 6070,         ,16 18 17.90,-28 36 50.0, 4.78,        ,                                           STAR A0V,
,HR 4003,         ,10 12 02.90,-28 36 23.0, 6.28,        ,                                           STAR A1V,
,HR 5228,         ,13 54 16.61,-28 34 10.9, 6.04,        ,                                         STAR K2III,
,HR 2576,         ,06 53 33.91,-28 32 22.9, 6.04,        ,                                          STAR G5IV,
,HR 6218,         ,16 45 00.19,-28 30 34.9, 6.02,W       ,                                          STAR A3IV,
,HR 2637,         ,07 00 42.60,-28 29 21.8, 6.27,        ,                                           STAR F5V,
,HR 4565,         ,11 55 40.10,-28 28 36.8, 5.93,        ,                                         STAR K5III,
,HR 6766,         ,18 08 04.99,-28 27 25.9, 4.57,D       ,                                         STAR G7III,
,HR 8386,12Eta PsA,22 00 50.21,-28 27 13.0, 5.42,        ,                                           STAR B8V,
,HR 6864,         ,18 22 00.19,-28 25 48.0, 6.16,        ,                                         STAR A3III,
,HR 6029,12    Sco,16 12 15.91,-28 25 03.0, 5.67,        ,                                           STAR B9V,
,HR 2993,1    Pup ,07 43 32.40,-28 24 40.0, 4.59,        ,                                           STAR K3I,
,HR 2922,         ,07 35 22.80,-28 22 09.8, 4.64,        ,                                           STAR B8V,
,HR 8619,         ,22 39 43.99,-28 19 31.1, 6.31,        ,                                          STAR K0IV,
,HR 4839,         ,12 44 00.50,-28 19 26.0, 5.48,        ,                                         STAR K4III,
,HR 8446,         ,22 10 00.10,-28 17 33.0, 6.44,        ,                                           STAR A5V,
,HR 6836,         ,18 17 23.71,-28 17 21.1, 6.40,        ,                                           STAR G0V,
,HR 4130,         ,10 31 48.60,-28 14 15.0, 6.05,        ,                                           STAR F7V,
,HR 749 ,Ome For  ,02 33 50.71,-28 13 57.0, 4.90,        ,                                           STAR B9V,
,HR 6165,23Tau Sco,16 35 52.99,-28 12 58.0, 2.82,        ,                                           STAR B0V,
,HR 5809,         ,15 38 15.70,-28 12 24.1, 6.32,        ,                                         STAR K1III,
,HR 6459,43    Oph,17 23 21.60,-28 08 35.2, 5.35,        ,                                         STAR K5III,
,HR 5794,39Ups Lib,15 37 01.51,-28 08 06.0, 3.58,        ,                                         STAR K3III,
,HR 9016,Del Scl  ,23 48 55.61,-28 07 49.1, 4.57,        ,                                           STAR A0V,
,HR 5090,         ,13 31 33.29,-28 06 46.1, 6.47,        ,                                           STAR A1V,
,HR 914 ,Eps For  ,03 01 37.70,-28 05 30.1, 5.89,        ,                                          STAR G5IV,
,HR 8813,         ,23 09 44.59,-28 05 19.0, 5.87,        ,                                         STAR K2III,
,HR 1525,         ,04 46 25.80,-28 05 15.0, 6.19,        ,                                          STAR A3IV,
,HR 4334,         ,11 08 43.90,-28 04 50.2, 5.44,        ,                                           STAR A1V,
,HR 6680,         ,17 56 41.90,-28 03 55.1, 5.80,        ,                                         STAR A7III,
,HR 5856,         ,15 46 12.79,-28 03 42.1, 6.51,        ,                                          STAR F2IV,
,HR 5591,60    Hya,15 02 06.41,-28 03 38.2, 5.85,        ,                                          STAR A4IV,
,HR 2916,         ,07 34 34.90,-27 00 42.8, 5.77,        ,                                         STAR K1III,
,HR 5775,36    Lib,15 34 37.30,-28 02 48.8, 5.15,        ,                                         STAR K4III,
,HR 24  ,Kap1Scl  ,00 09 21.00,-27 59 16.1, 5.42,        ,                                           STAR F2V,
,HR 5526,58    Hya,14 50 17.30,-27 57 37.1, 4.41,        ,                                         STAR K4III,
,HR 2972,         ,07 40 43.39,-27 56 44.9, 6.76,        ,                                          STAR B3IV,
,HR 1114,Tau For  ,03 38 47.69,-27 56 35.2, 6.01,        ,                                           STAR A0V,
,HR 845 ,Gam2For  ,02 49 54.19,-27 56 30.1, 5.39,        ,                                           STAR A0V,
,HR 2646,22Sig CMa,07 01 43.10,-27 56 04.9, 3.47,        ,                                           STAR K7I,
,HR 6028,13    Sco,16 12 18.19,-27 55 35.0, 4.59,        ,                                           STAR B2V,
,HR 7997,         ,20 54 06.79,-27 55 32.2, 6.41,        ,                                         STAR M4III,
,HR 6593,         ,17 43 17.81,-27 53 03.1, 6.36,D       ,                                           STAR A9V,
,HR 2766,         ,07 16 34.99,-27 52 52.0, 4.64,        ,                                         STAR M3III,
,HR 1926,Nu 1Col  ,05 37 16.49,-27 52 17.0, 6.16,        ,                                          STAR F0IV,
,HR 7355,         ,19 24 30.10,-27 51 56.2, 6.04,        ,                                           STAR B2V,
,HR 2822,         ,07 23 29.09,-27 50 03.1, 5.38,        ,                                         STAR K2III,
,HR 943 ,         ,03 07 50.90,-27 49 52.0, 6.19,        ,                                           STAR A5V,
,HR 6616,3    Sgr ,17 47 33.60,-27 49 50.9, 4.54,        ,                                          STAR F7II,
,HR 34  ,Kap2Scl  ,00 11 34.39,-27 47 58.9, 5.41,W       ,                                         STAR K5III,
,HR 268 ,         ,00 55 55.49,-27 46 32.2, 6.10,        ,                                         STAR M0III,
,HR 2380,         ,06 30 46.30,-27 46 09.8, 5.93,        ,                                           STAR B2V,
,HR 3871,The Ant  ,09 44 12.10,-27 46 09.8, 4.79,W       ,                                           STAR A8V,
,HR 8478,16Lam PsA,22 14 18.79,-27 46 00.8, 5.43,        ,                                         STAR B8III,
,HR 6387,         ,17 12 25.01,-27 45 42.8, 6.14,        ,                                           STAR B9V,
,HR 5381,51    Hya,14 23 05.81,-27 45 14.0, 4.77,        ,                                         STAR K4III,
,HR 4723,         ,12 25 18.41,-27 44 57.1, 6.09,        ,                                         STAR K1III,
,HR 8050,         ,21 03 10.20,-27 43 54.8, 6.25,        ,                                         STAR K0III,
,HR 3518,Gam Pyx  ,08 50 31.90,-27 42 36.0, 4.01,        ,                                         STAR K3III,
,HR 7650,62    Sgr,20 02 39.50,-27 42 34.9, 4.58,        ,                                         STAR M4III,
,HR 3556,Del Pyx  ,08 55 31.51,-27 40 54.8, 4.89,        ,                                          STAR A3IV,
,HR 7234,40Tau Sgr,19 06 56.40,-27 40 14.2, 3.32,        ,                                         STAR K1III,
,HR 5577,59    Hya,14 58 39.19,-27 39 25.9, 5.65,        ,                                           STAR A4V,
,HR 1275,         ,04 05 37.39,-27 39 06.1, 5.59,        ,                                          STAR F1IV,
,HR 8110,         ,21 13 17.30,-27 37 09.8, 5.42,        ,                                         STAR K5III,
,HR 4860,         ,12 48 26.40,-27 35 51.0, 5.66,        ,                                         STAR G5III,
,HR 2611,         ,06 57 42.41,-27 32 15.0, 6.23,        ,                                           STAR B2V,
,HR 2708,         ,07 10 19.39,-27 29 29.0, 5.46,        ,                                         STAR G8III,
,HR 3933,         ,09 56 54.00,-27 28 30.0, 6.32,        ,                                           STAR A4V,
,HR 2724,         ,07 12 24.10,-27 28 27.1, 6.59,        ,                                          STAR A5IV,
,HR 6216,         ,16 44 17.30,-27 27 22.0, 6.58,        ,                                           STAR A2V,
,HR 5265,         ,14 02 22.80,-27 25 48.0, 5.48,        ,                                         STAR K3III,
,HR 4162,         ,10 37 13.70,-27 24 45.0, 4.89,        ,                                         STAR M2III,
,HR 1758,         ,05 19 23.69,-27 22 08.0, 5.99,        ,                                           STAR A0V,
,HR 2734,         ,07 13 36.31,-27 21 23.0, 6.12,        ,                                           STAR B0V,
,HR 517 ,         ,01 46 01.01,-27 20 57.1, 6.39,        ,                                           STAR F2V,
,HR 2493,         ,06 44 51.89,-27 20 29.0, 6.45,        ,                                           STAR G2V,
,HR 5910,         ,15 54 30.00,-27 20 19.0, 6.14,        ,                                           STAR B6V,
,HR 2537,         ,06 50 06.00,-27 20 02.0, 7.04,        ,                                          STAR B2IV,
,HR 3353,         ,08 29 27.60,-27 19 57.0, 6.70,        ,                                           STAR B4V,
,HR 3916,         ,09 52 58.01,-27 19 55.9, 6.30,W       ,                                           STAR G1V,
,HR 1045,         ,03 26 22.51,-27 19 03.0, 5.93,        ,                                         STAR G5III,
,HR 4314,Chi1Hya  ,11 05 19.90,-27 17 37.0, 4.94,W       ,                                          STAR F3IV,
,HR 4317,Chi2Hya  ,11 05 57.60,-27 17 16.1, 5.71,        ,                                          STAR A0IV,
,HR 4542,         ,11 50 37.10,-27 16 40.1, 6.48,        ,                                         STAR G8III,
