,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 8664,         ,22 49 40.90,-77 03 02.2, 6.73,        ,                                           STAR A4V,
,HR 8021,Alp Oct  ,21 04 43.01,-77 01 26.0, 5.15,        ,                                         STAR A7III,
,HR 3318,Alp Cha  ,08 18 31.61,-76 55 10.9, 4.07,        ,                                         STAR F5III,
,HR 8957,         ,23 38 24.10,-76 52 12.0, 6.00,        ,                                         STAR K0III,
,HR 5261,The Aps  ,14 05 19.80,-76 47 48.1, 5.50,        ,                                         STAR M6III,
,HR 3902,Nu  Cha  ,09 46 20.59,-76 46 34.0, 5.45,        ,                                         STAR G8III,
,HR 5389,         ,14 29 36.79,-76 43 45.1, 6.07,        ,                                         STAR K0III,
,HR 3695,         ,09 12 12.31,-76 39 47.2, 6.14,        ,                                         STAR K1III,
,HR 5540,         ,14 57 52.90,-76 39 46.1, 5.34,        ,                                         STAR K4III,
,HR 4605,Kap Cha  ,12 04 46.51,-76 31 09.1, 5.04,        ,                                         STAR K4III,
,HR 1953,Gam Men  ,05 31 52.90,-76 20 28.0, 5.19,W       ,                                         STAR K2III,
,HR 4170,         ,10 35 24.79,-76 18 33.1, 6.30,        ,                                         STAR K2III,
,HR 8052,         ,21 08 47.90,-76 12 45.0, 6.58,        ,                                         STAR K1III,
,HR 7863,Mu 1Oct  ,20 42 02.90,-76 10 50.2, 6.00,        ,                                         STAR F4III,
,HR 6635,         ,17 57 41.81,-76 10 39.0, 6.07,W       ,                                         STAR K2III,
,HR 8380,         ,22 03 03.79,-76 07 07.0, 5.95,W       ,                                         STAR F3III,
,HR 8432,         ,22 11 55.30,-76 06 58.0, 6.15,        ,                                         STAR K0III,
,HR 5786,         ,15 41 54.60,-76 04 54.8, 5.95,        ,                                           STAR B9V,
,HR 58  ,         ,00 15 55.20,-75 54 41.0, 6.49,        ,                                         STAR G8III,
,HR 4479,Pi  Cha  ,11 37 15.60,-75 53 48.1, 5.65,        ,                                         STAR F1III,
